Permission Name,API Name,Description
Edit Managed Order Summaries,EditManagedOrderSummaries,Edit managed order summaries.
Edit Materiality Assessment,EditMaterialityAssessment,Select the Data Processing Engine definition for materiality assessment calculations.
Edit My Dashboards,EditMyDashboards,"Edit, move, save, and delete user's own dashboards in shared folders."
Edit My Reports,EditMyReports,"Edit, move, save, and delete user's own reports in shared folders."
Edit Opportunity Product Sales Price,EditOppLineItemUnitPrice,Change the sales price on opportunity line items.
Edit Payments,EditPayment,Edit payment reasons and insert payments.
Manage Public Documents,EditPublicDocuments,"Create, edit, and delete folders for public documents."
Manage Public List Views,EditPublicFilters,"Create, edit, and delete public list views."
Manage Public Classic Email Templates,EditPublicTemplates,"Create, edit, and delete text emails, mail merge templates, and folders for public email templates."
Edit Read Only Fields,EditReadonlyFields,Edit fields that are read only due to page layouts or field-level security.
Edit Repricing Information,EditRepricing,"Allow the user to edit repricing information such as webstore, integration, and other repricing setup."
Edit Tasks,EditTask,"Create, edit, and delete tasks."
Edit Topics,EditTopics,Edit topic names and descriptions.
Article Translation - Edit,EditTranslation,Edit an article translation
Edit Unmanaged Order Summaries,EditUnmanagedOrderSummaries,Edit order summaries associated with orders that are managed outside of Salesforce Order Management.
Einstein Sales Summaries User,EGPTSalesSummariesUser,"Let users create generative AI-based sales summaries, for accounts, contacts, leads, and opportunities."
Use Einstein Service Email Assistant,EGPTServiceEmailUser,Draft case emails with Einstein.
Manage AI Agents,EinsteinAgentPlatformBuilder,Create agents from an agent type or from scratch and manage them with Agent Builder.
Einstein Assistant User,EinsteinAssistantUser,Allows a user to access Einstein Assistant.
Manage Agentforce Default Agent,EinsteinCopilotBuilder,Build and manage in-org copilots.
Use Agentforce Default Agent,EinsteinCopilotUser,Let users access Einstein features through a conversational AI assistant.
Use Einstein Sales Emails,EinsteinGPTSalesEmailsUser,Generate sales email drafts using Einstein GPT.
Manage Replies for Einstein Reply Recommendations,EinsteinReplyManager,"View, publish, and manage replies for Einstein Reply Recommendations."
Mass Email,EmailMass,Send mass emails to contacts and leads.
Send Email,EmailSingle,Send email to a single contact or lead.
Messaging for In-App and Web Agent,EmbeddedMessagingAgent,Accept Messaging for In-App and Web conversations from Omni-Channel.
Enable Auto-Assign Carbon Footprint to Energy Use Record,EnableAssignCrbnFtprntToEur,Edit value of the Auto-Assign Carbon Footprint to Energy Use Record setting.
Enable Auto-Create Carbon Footprints,EnableAutoCreateCrbnFtprnts,Edit value of Auto-Create Carbon Footprints setting.
Enable blockchain transaction polling API,EnableBCTransactionPolling,Enable blockchain transaction polling API
Show App Launcher in Experience Cloud Sites,EnableCommunityAppLauncher,Display the App Launcher icon in Experience Cloud sites.
Import CSV Advanced Account Forecasting for Experience Cloud,EnableImpCSVForMfgAAFCmty,Gives partner users access to the import CSV for advanced account forecasting feature in Experience Cloud.
Import CSV for Advanced Account Forecasting,EnableImportCSVForMfgAAF,Access import CSV on Advanced Account Forecasting.
Allow blockchain data upload,EnableIPFSUpload,Let the user upload blockchain data
Mass Update for Advanced Account Forecasting,EnableMassUpdateForMfgAAF,Access mass update on Advanced Account Forecasting.
Mass Update Advanced Account Forecasting for Experience Cloud,EnableMassUpdtForMfgAAFCmty,Gives partner users access to the mass update for advanced account forecasting in Experience Cloud.
Mass Update for Experience Cloud Sales Agreement,EnableMassUpdtForMfgSACmty,Access mass update for sales agreements in Experience Cloud.
Design and Deliver Enablement Programs,EnablementAdmin,"Create Enablement programs for users in Lightning Experience. Define measures, add Digital Experiences content to programs, assign programs, and configure and view related reports and dashboards."
Take Enablement Programs,EnablementUser,View and complete assigned Enablement programs in Lightning Experience.
Send Outbound Messages,EnableNotifications,Send outbound messages to an external Web service API.
Enable SOS Licenses,EnableSOS,Give users access to SOS licenses to allow them to use SOS video call functionality.
Enforce SSL/TLS Mutual Authentication,EnforceMutualAuthentication,Enforce Mutual Authentication on port 8443 for standard SSL/TLS connections.
Engagement Config User,EngagementConfigUser,Allows user to access the Engagement Config
Salesforce Mobile App: Native Seller Experience,EnhancedSalesMobileExp,Sellers can use the Sales Cloud Mobile Lightning app within the Salesforce mobile app.
View Event Log Object Data,EventLogReadAccess,Query and view event log object data.
Execute Data Subject Access Policies,ExecuteDSARPolicies,Allow user to execute Data Subject Access Request Portability policies
Execute Prompt Templates,ExecutePromptTemplates,Permit user access to Execute Prompt Templates
Provides site users with access to Decision Explainers features and APIs.,ExplainabilityCmtyAccess,Provides site users with access to Decision Explainers features and APIs.
Provides internal Org users with access to Decision Explainer features and APIs.,ExplainabilityUserAccess,Provides internal Org users with access to Decision Explainer features and APIs.
Manage Export Calculations,ExportCalculations,Export formulas and raw values used in carbon calculations.
Export Reports,ExportReport,Use Export Details and Printable View to export reports.
"View all External Client Apps, view their settings, and edit their policies",ExternalClientAppAdmin,"View all External Client Apps, view their settings, and edit their policies."
"Create, edit, and delete External Client Apps",ExternalClientAppDeveloper,"Create, edit, and delete External Client Apps."
View all External Client Apps,ExternalClientAppViewer,View all External Client Apps.
Pin Posts in Feeds,FeedPinning,Assign permission to pin a post in this org and your Experience Cloud sites.
Use objects in the Clinical data model via Experience Cloud sites,FHIRCmtyAccess,Use objects in the Clinical data model via Experience Cloud sites.
Field Service Standard,FieldServiceAccess,Give users access to all standard Field Service features.
Access Agent Topics and Actions for Field Service,FieldServiceCopilotActions,Gain access to all agent topics and actions for Field Service.
Field Service Dispatcher,FieldServiceDispatcher,"If the Field Service managed packages are installed, give users access to the dispatcher console."
Field Service Appointment Assistant,FieldServiceLastMile,Allows users to participate in Field Service Appointment Assistant
Field Service Mobile,FieldServiceMobileApp,Give users access to the Mobile Field Service app.
Field Service Scheduling,FieldServiceScheduling,"If the Field Service managed packages are installed, include users in scheduling optimization."
Access Actionable Relationship Center,FinancialServices2UserAccess,Grants access to Actionable Relationship Center.
Multi-Factor Authentication for User Interface Logins,ForceTwoFactor,Require users to provide an additional verification method in addition to their username and password when logging in to Salesforce orgs.
Freeze Users,FreezeUsers,Freeze and unfreeze users.
Access Record Alerts,FSCAlertFrameworkUserAccess,Grants access to Record Alerts and related objects and fields.
Access Actionable Relationship Center for partner users,FSCArcGraphCommunityUser,"Grants access to ARC Relationship Graph, ARC Highlights Panel, and ARC Record Details Lightning components to partner users."
Grants access to B2B features,FSCB2BUserAccess,Enable Business Client Engagement features to efficiently onboard and manage relationships with business clients.
User license to access Lightning components and features delivered in Financial Services Cloud.,FSCComprehensiveUserAccess,User license to access Lightning components and features delivered in Financial Services Cloud.
Insurance Claim Management Platform User,FSCInsClaimMgmtPlatformUser,Grants access to the Claim Management specific objects and fields.
Insurance Policy Administration Platform User,FSCInsPolicyAdminPlatformUser,Grants access to the Policy Administration specific objects and fields.
Access Insurance Lightning Components,FSCInsuranceCmpCmtyAccess,"Grants access to the Insurance Lightning components. (Note: This permission doesn’t give access to the Life Events or Business Milestones component, though.)"
Access Insurance Lightning Components,FSCInsuranceCmpLexOnlyAccess,"Grants access to the Insurance Lightning components. (Note: This permission doesn’t give access to the Life Events or Business Milestones component, though.)"
Access Insurance Objects,FSCInsurancePlatformUser,Grants access to the insurance-specific objects and fields.
Plans and Goals User,FscPlansAndGoalsUser,Grants access to Plans and Goals in Financial Services Cloud.
Fundraising User,FundraisingUser,Allows users to access Fundraising features.
"View, Edit, and Post Service Emails",GenEmailResponseUser,"View, edit, and post AI-generated and recommended emails."
"View, Edit, and Post Service Replies",GenReplyRecommendationUser,"View, edit, and post AI-generated and recommended replies during chat conversations."
View Einstein Discovery Recommendations,GetSmartDataDiscovery,Can view predictions and recommendations from Einstein Discovery models.
View Einstein Discovery Recommendations Via Connect API,GetSmartDataDiscoveryExternal,Can view predictions and recommendations from Einstein Discovery models via Connect API.
Give Recognition Badges in Experience Builder Sites,GiveRecognitionBadge,Lets members give recognition badges to other members.
Manage Experiences,GovernNetworks,Access Experience Management to view site dashboards and set up Reputation point system and levels.
User Has Unlimited Erb Model Scoring,HasUnlimitedErbScoringRequests,User Has Unlimited Erb Model Scoring
User Has Unlimited Next Best Action Strategy Executions,HasUnlimitedNBAExecutions,Execute unlimited number of action strategies.
Manage Advanced Therapy Orchestration features,HcAdvancedTherapyUser,Manage Advanced Therapy Orchestration features
Perform Medication Reconciliation with Medication Management.,HcMedReconciliationUser,Perform Medication Reconciliation with Medication Management.
Manage your Medication Therapy Reviews with Medication Management.,HCMedTherapyMgmtUser,Manage your Medication Therapy Reviews with Medication Management.
Use objects in the Provider Network Management data model via Experience Cloud sites,HcPnmSiteUser,Use Provider Network Management via Experience Cloud sites.
Enable Salesforce CMS Integration,HeadlessCMSAccess,Enable Salesforce CMS integration with any endpoint and allow user access to Salesforce CMS data.
Provides access to Health Cloud data for Community users.,HealthCloudCmtyAccess,Allows a communities user access to Health Cloud.
Health Cloud Starter,HealthCloudStarter,"Allows a user to Create, Edit and Delete Health Cloud Starter Data."
Manage Health Cloud Utilization Management,HealthCloudUtilizationMgmtUser,"Allows a user to create, edit and delete Health Cloud Utilization Management data"
Permission to access Group Benefits App and Omniscripts,HealthGroupBenefitsUserAccess,Gives the user the access necessary to use the Group Benefits feature.
Hide the Seen By List,HideReadByList,Increases privacy in a private group by hiding the count and names of those who view its posts.
Enables the use of objects in the Integrated Care Management data model by Experience cloud site users.,IcmCmtyAccess,Enables the use of objects in the Integrated Care Management data model by Experience cloud site users.
Use Identity Connect,IdentityConnect,Gives the user access to the Identity Connect product which provides Active Directory integration.
Use Identity Features,IdentityEnabled,Gives the user access to Identity features such as App Launcher.
Permission to access Identity Verification,IdentityVerificationUserAccess,Gives the user the access necessary to use the Identification Verification feature.
Import Custom Objects,ImportCustomObjects,Allows non-admin users to import Custom Objects using Data Import Wizard.
Import Leads,ImportLeads,Import leads and update campaign history.
Import Personal Contacts,ImportPersonal,Import personal accounts and contacts.
Deploy Change Sets,InboundMigrationToolsUser,Deploy inbound change sets.
Industries Epc Next Pilot,IndustriesEpcNextPilot,Grants users the access to EpcNext Bpos
Access Life Events or Business Milestones Component,IndustryMilestonePlatformUser,Grants access to the Life Events or Business Milestones Lightning component.
Manage CRM Analytics,InsightsAppAdmin,Access all CRM Analytics features.
Create and Edit CRM Analytics Dashboards,InsightsAppDashboardEditor,Create and Edit CRM Analytics Dashboards.
Edit CRM Analytics Dataflows,InsightsAppEltEditor,Edit CRM Analytics dataflows and view errors related to them.
Upload External Data to CRM Analytics,InsightsAppUploadUser,Upload external data files through the CRM Analytics user interface to create datasets.
Use CRM Analytics,InsightsAppUser,"Run apps to which you have access; view their datasets, lenses, and dashboards; and create and edit lenses."
Create CRM Analytics Apps,InsightsCreateApplication,Create CRM Analytics Apps.
Use Intelligent Apps,InsightsIntelAppUser,Run intelligent apps based on data cloud.
Install DEI Analytics App,InstallDEIAnalyticsApp,Install or uninstall the DEI Analytics app.
Install Net Zero Analytics App,InstallNetZeroAnalyticsApp,Install or uninstall the Net Zero Analytics app.
Download AppExchange Packages,InstallPackaging,Install or uninstall AppExchange packages as system administrators.
Insurance Group Benefits User,InsuranceGroupBenefitsUser,Grants access to the Insurance Group Benefits specific objects and fields.
Grant administrators access to Industries Interaction Calculation features.,InteractionCalcAdminPerm,Grant administrators access to Industries Interaction Calculation features.
Grant users access to Industries Interaction Calculation features.,InteractionCalcUserPerm,Grant users access to Industries Interaction Calculation features.
Access Interest Tags for Financial Services Cloud.,InterestTaggingUserAccess,Provides access to Interest Tags feature in Financial Services Cloud.
Invite Buyer to Reorder Portal,InviteBuyerToReorderPortal,Allows a Salesforce User to invite a B2B Buyer to a Reorder Portal.
IP Restrict Requests,IPRestrictRequests,Restrict what IP addresses can access in the PRM Portal.
Contact Center Admin,IsContactCenterAdmin,Allow the user to set up Amazon Connect flows and Interactive Voice Response (IVR).
Contact Center Admin (Partner Telephony),IsContactCenterAdminBYOT,Manage contact centers that use an external telephony provider.
Contact Center Agent,IsContactCenterAgent,Allow the user to be assigned to contact center queues in Amazon Connect.
Contact Center Agent (Partner Telephony),IsContactCenterAgentBYOT,Access contact centers that use an external telephony provider.
Contact Center Supervisor,IsContactCenterSupervisor,Allow the user to be assigned as supervisor to a Service Cloud Voice Contact Center.
Salesforce Anywhere on Mobile,IsotopeAccess,Use the Salesforce Anywhere mobile app
Salesforce Anywhere Integration Access,IsotopeCToCUser,Salesforce Anywhere integration user access
Salesforce Anywhere in Lightning Experience,IsotopeLEX,Use Salesforce Anywhere in Lightning Experience
Is Single Sign-On Enabled,IsSsoEnabled,Delegate username and password authentication to a corporate database instead of the Salesforce.com user database.
Identity Verification and Screening User,KycPlatformUser,"Grants access to objects and fields for risk assessment, identity verification, and screening of accounts, contacts, or leads."
Access Lead Intelligence View in Partner Sites,LeadInspectorUser,Gives partner users access to Lead Intelligence View.
Publish Einstein Lead Scoring results,LeadScoreResultPublisher,"Create, read, write, and delete Einstein Lead Scoring results on lead records."
Use Einstein Lead Scoring,LeadScoreUser,See lead scores showing how well your leads match your company’s conversion patterns and which lead attributes affect each score most.
Manage Learning,LearningManager,Gives user permission to create Learning items.
Access Customer Asset Lifecycle Management APIs,LifecycleManagementAPIUser,Use APIs to manage lifecycle-managed assets.
Lightning Console User,LightningConsoleAllowedForUser,Gives the user access to Lightning console apps.
Lightning Experience User,LightningExperienceUser,Access Lightning Experience and switch between Lightning Experience and Salesforce Classic.
Lightning SDK for Field Service Mobile,LightningOnFSMobile,"Enable the Lightning SDK for online and offline use in the Field Service mobile app. If the Lightning SDK for Field Service Mobile org setting is enabled, it will override this setting."
Let a user be included in appointments in Salesforce Scheduler.,LightningSchedulerUserAccess,Let a user be included in appointments in Salesforce Scheduler.
Allow sending of List Emails,ListEmailSend,"Allow users to create, edit and send List Emails"
Messaging Agent,LiveMessageAgent,Send and receive messages through Messaging.
End Messaging Session,LMEndMessagingSessionUserPerm,End in-progress Messaging sessions with end users.
Agent Initiated Outbound Messaging,LMOutboundMessagingUserPerm,Initiate messaging with customers.
Let greeters access the Lobby Management tab.,LobbyManagementUserAccess,Let greeters access the Lobby Management tab.
Remain in Salesforce Classic,LtngPromoReserved01UserPerm,Gives the user ability to remain in Salesforce Classic instead of being switched to Lightning Experience automatically.
Make Payments,MakePayments,Pay for purchases.
Manage Access Policies,ManageAccessPolicies,"Grants users access to view, create, edit, and delete Enforcement Policies"
Manage Agentforce Service Agents,ManageAgentforceServiceAgent,Create and update Agentforce Service agents.
Manage Reporting Snapshots,ManageAnalyticSnapshots,"Create, edit, and delete reporting snapshots."
Manage Auth. Providers,ManageAuthProviders,Create and edit Auth. Providers
Manage Automotive Analytics,ManageAutomotiveAnalytics,Create and manage Automotive Analytics.
Manage Briefs,ManageBriefs,Allow users to manage Briefs
Manage Business Hours Holidays,ManageBusinessHourHolidays,"Create, edit, and delete business holidays."
Manage Cross-Cloud High-Volume Priming,ManageC2CHighVolumePriming,Provide High Volume Priming access to Cloud Integration Users
Connect Org to Data Cloud,ManageC360AConnections,Allows a user to connect the org to Data Cloud.
Manage Call Centers,ManageCallCenters,"Create, import, edit, and delete a call center configuration."
Manage Campaigns,ManageCampaigns,Allow users to manage Campaigns
Manage Cases,ManageCases,"Administer case settings, including Email-to-Case and mass transfer of cases."
Manage Categories,ManageCategories,Define and modify solution categories settings.
Allow users to manage models in Einstein Studio,ManageCdpMlModels,"Allows users to create, update, and delete models in Einstein Studio."
Manage Certificates,ManageCertificates,Ability to manage certificates
Receive Certificate Expiration Notifications,ManageCertificatesExpiration,"Receive email notifications 60, 30, and 10 days before a certificate expires."
Manage CG Analytics,ManageCGAnalytics,Create and manage CG Analytics.
Manage Chatter Messages and Direct Messages,ManageChatterMessages,Access all users' messages sent in Chatter.
Manage Clinical Decision Support,ManageClinicalDecisionSupt,Give users access to manage clinical decision support requests.
Create and manage Salesforce Contracts Analytics,ManageCLMAnalytics,Create and manage Salesforce Contracts Analytics.
Create CMS Workspaces and Channels,ManageCMS,Create Workspaces and Channels in Salesforce CMS.
Manage Content Links,ManageContentLinks,Manage content linked to the source.
Manage Content Permissions,ManageContentPermissions,"Create, edit, and delete library permissions in Salesforce CRM Content."
Manage Content Properties,ManageContentProperties,"Create, edit, and delete custom fields in Salesforce CRM Content."
Manage Content Taxonomy,ManageContentTaxonomy,"Allow users to create, edit, and delete content taxonomy in the UI, and modify objects with Salesforce APIs."
Manage record types and layouts for Files,ManageContentTypes,"Create, edit, and delete content types in Salesforce CRM Content.."
View and generate Einstein Conversation Mining reports,ManageConvMiningReports,View and generate Einstein Conversation Mining reports
Manage Customer Users,ManageCssUsers,Enable and disable contacts for Self-Service and Customer Portal access.
Manage Custom Permissions,ManageCustomPermissions,"Create, edit, and delete custom permissions."
Manage Custom Domains,ManageCustomDomains,"Create, edit, and delete custom domains and custom URLs."
Manage Customer Experience Analytics,ManageCustomerExperienceAnalytics,Create and manage Customer Experience Analytics.
Manage Custom Report Types,ManageCustomReportTypes,"Create, edit, and delete custom report types."
Manage Dashboards in Public Folders,ManageDashbdsInPubFolders,"Create, edit, delete dashboards, and manage their sharing in all public folders."
Manage Data Categories,ManageDataCategories,"Create, edit, and delete data categories."
Lets users select a Data Cloud segment as the target audience for promotions created using Global Promotions Management.,ManageDataCloudSegmentsGPM,Lets users select a Data Cloud segment as the target audience for promotions created using Global Promotions Management.
Manage Data Integrations,ManageDataIntegrations,Monitor or abort Bulk API jobs.
Manage Data Mask Policies,ManageDataMaskPolicies,"Create, edit, and update Data Mask policies."
Allow users to access the features of Data Processing Engine to transform data that’s available in your Salesforce org.,ManageDataProcessingEngine,Allow users to access the features of Data Processing Engine to transform data that’s available in your Salesforce org.
Manage Dataspace Scope,ManageDataspaceScope,"Grants users access to view, create, edit, and delete a Dataspace Scope"
Manage Default Reporting Year Type,ManageDefaultReportingYearType,Manage the default reporting year type in Net Zero Cloud.
Manage Dev Sandboxes,ManageDevSandboxes,Create and edit only metadata sandboxes.
Manage Data Subject Access Policies,ManageDSARPolicies,Allow user to create and update Data Subject Access Request Portability policies
Manage Dynamic Dashboards,ManageDynamicDashboards,"Create, edit, and delete dynamic dashboards."
Manage B2B Marketing Analytics Plus,ManageEAForB2BMarketing,Create and manage B2B Marketing Analytics Plus.
Manage Education Analytics,ManageEducationAnalytics,Create and manage Education Analytics.
Manage Email Client Configurations,ManageEmailClientConfig,"Create, edit, and delete Outlook configurations for Salesforce for Outlook."
Manage Email Content,ManageEmailContent,"View, create, edit, and delete email content. You can also send, preview, and test your email content with this permission."
Manage Email Messaging Setup,ManageEmailMessagingSetup,"Create, view, edit, and delete email objects in Setup."
Manage Encryption Keys,ManageEncryptionKeys,Manage tenant secrets.
Manage Entitlements,ManageEntitlements,"Enable, create, and update entitlement management items."
Manage Lightning Sync,ManageExchangeConfig,"Gives access to Lightning Sync Setup, Configurations, and Status pages in Salesforce Setup."
Allow user to modify Private Connections,ManageExternalConnections,"Allow users to modify Private Connections through the Metadata, Tooling, and Connect APIs."
Manage Policies' Files And Attachments,ManageFilesAndAttachments,Allows a user to define copy files and attachments in policies.
Manage Forecasts Custom Data,ManageForecastingCustomData,"Set up, edit, and remove custom forecasts data."
Manage Financial Services Analytics,ManageFSCAnalytics,Create and manage Financial Services Analytics.
Manage Fuel Types,ManageFuelTypes,"View, create, edit, or delete fuel types."
Manage Cross Cloud Privacy Center,ManageGlobalPrivacyCenterVO,Access to virtual entities in Cross Cloud Privacy Center.
Manage Health Cloud Provider Network Management,ManageHcProviderNtwkMgmt,Allows a user to use the Health Cloud Provider Network Management feature.
Manage Health Cloud Provider Relationship Management,ManageHcProviderRelMgmt,Allows a user to use the Health Cloud Provider Relationship Management feature.
Manage Health Check,ManageHealthCheck,Ability to create new custom health check baselines
Manage Health Cloud,ManageHealthCloud,"Allows a user to Create, Edit and Delete Health Cloud Data."
Manage Health Cloud Financial Data,ManageHealthCloudFinancialData,Gives users access to Health Cloud financial data.
Connect Org to Customer 360 Data Manager,ManageHubConnections,Allows a user to connect the org to Customer 360 Data Manager.
Design and Deliver In-App Guidance for Partners,ManageInAppGuidanceForSites,"Create, edit, and delete prompts and walkthroughs in supported Experience Cloud sites."
Manage Industries Visit,ManageIndustriesVisit,Manage industries visit
Manage Information Library,ManageInformationLibrary,"Lets ESG reporting managers collect, organize, and collaborate with stakeholders on content that can be applied and reused in reporting."
Manage Integration Connections,ManageIntegrationConnections,"Create, view, edit, delete, and share all connections in the org."
Manage Flow,ManageInteraction,"Allow users to view, create, edit, delete, and activate all flows and flow types in Lightning Experience apps and Setup."
Manage Internal Users,ManageInternalUsers,Create and edit internal users.
Manage IP Addresses,ManageIpAddresses,"Create, edit, and delete trusted IP ranges."
Manage Salesforce Knowledge,ManageKnowledge,"Manage Salesforce Knowledge settings, and create, edit, and delete article types."
Manage Knowledge Article Import/Export,ManageKnowledgeImportExport,Allows user to manage all the Knowledge Article Import/Export
Manage Leads,ManageLeads,Change the status of multiple leads in a list view.
Manage Learning Reporting,ManageLearningReporting,Create reports with associated objects for Learning Paths.
Manage Load Reference Data,ManageLoadReferenceData,View and upload datasets by using Load Reference Data.
Manage Login Access Policies,ManageLoginAccessPolicies,Specify the login access policies that apply to administrators and support organizations.
Allow users to access the features of Loyalty that’s available in your Salesforce org.,ManageLoyalty,Allow users to access the features of Loyalty that’s available in your Salesforce org.
Manage Loyalty Analytics,ManageLoyaltyAnalytics,Create and manage Loyalty Analytics.
Lets users design loyalty programs.,ManageLoyaltyPrograms,Lets users design loyalty programs.
Lets users create and run promotions for a loyalty program using capabilities of Global Promotion Management.,ManageLoyaltyPromotionsGPM,Lets users create and run promotions for a loyalty program using capabilities of Global Promotion Management.
Manage Manufacturing Analytics,ManageManufacturingAnalytics,Create and manage Manufacturing Analytics.
Manage Mobile Configurations,ManageMobile,Access Salesforce Classic features.
Manage Enhanced Mobile App Security,ManageMobileAppSecurity,Manage enhanced mobile app security policies.
Mobile Publisher Cloud Integration User,ManageMobilePublisherIntegration,Allows user to access mobile publisher feature.
Manage External Users (Limited),ManageMyExternalUsers,Create and manage only external users that you have Read/Write access to.
Manage mySalesforce apps,ManageMyS1App,"View, edit, and manage mySalesforce apps."
Allows users to modify Named Credentials and External Credentials,ManageNamedCredentials,"Allow users to modify Named Credentials and External Credentials through the Metadata, Tooling, and Connect APIs."
Create and Set Up Experiences,ManageNetworks,"Create Experience Cloud sites, manage settings, membership, login and registration, branding, and associated Site.com site."
Manage Net Zero Cloud Settings,ManageNetZeroCloudSettings,View and manage Net Zero Cloud settings.
Manage Orchestration Runs,ManageOrchestrationRuns,"Cancel, debug, suspend, and resume orchestration runs."
Manage Orchestration Runs and Work Items,ManageOrchInstsAndWorkItems,"Cancel, debug, suspend, and resume orchestration runs and reassign orchestration work items."
Manage Outcomes,ManageOutcomeManagement,Provides access to outcome and indicator related objects.
Manage Package Licenses,ManagePackageLicenses,Manage package licenses in subscriber organizations.
Manage Connections,ManagePartnerNetConn,Allows a user to create and update connections and templates in Salesforce to Salesforce.
Manage External Users,ManagePartners,Create partner accounts and partner users.
Manage Password Policies,ManagePasswordPolicies,Set password restrictions and login lockout policies for all users.
Manage Patient Program Outcomes,ManagePatientProgramOutcomes,Provide users with access to the patient services program outcomes and its associated features.
Manage Personal Org,ManagePersonalOrg,Allows user to manage a personal org
Gives users access to verify and reverify pharmacy benefits.,ManagePharmacyBenefitsVerf,Gives users access to verify and reverify pharmacy benefits.
Manage Preference Manager,ManagePreferenceCenter,"Create, edit, and delete Preference Manager configurations."
Manage Privacy Center Policies,ManagePrivacyCenterPolicies,"Create, edit, and update Privacy Center data management policies."
Manage Privacy Hold,ManagePrivacyHold,View records marked for Privacy Hold and the Privacy Hold Reasons related list. Privacy Hold prevents Privacy Center policies from deleting data.
Manage Product Catalog,ManageProductCatalog,"Create, edit, and delete Product Catalog Management objects."
Manage Product Discovery,ManageProductDiscovery,Manage Product Discovery
Manage Profiles and Permission Sets,ManageProfilesPermissionsets,"Create, edit, and delete profiles and permission sets."
Advanced Program Management,ManageProgramManagement,"Provides access to benefit scheduling, complaint management, and related objects."
Manage Programs and Cases,ManageProgramsBenefitsCases,"View programs, benefits, and cases, and manage program enrollments, benefit schedules, sessions, assignments, and disbursements."
Lets users design emails and select the Marketing Cloud business unit for promotions created using Global Promotions Management.,ManagePromotionDistributionGPM,Lets users design emails and select the Marketing Cloud business unit for promotions created using Global Promotions Management.
Lets users create and run promotions using the capabilities of Global Promotions Management.,ManagePromotionWithGPM,Allow users to access the features of Loyalty that’s available in your Salesforce org.
Manage Prompt Templates,ManagePromptTemplates,Permit user access to Manage Prompt Templates
Manage Next Best Action Recommendations,ManagePropositions,"Create, update, and delete recommendations. Recommendations represent offers and actions that are recommended to users and customers as part of Next Best Action functionality. They are used with action strategies."
Manage Provider Search,ManageProviderSearch,Allows a user to use the Health Cloud Provider Search feature.
Manage All Private Reports and Dashboards,ManagePvtRptsAndDashbds,Allows full access to reports and dashboards in all other users' private folders (API only).
Manage Quotas,ManageQuotas,"Create, edit and delete forecasting quotas"
Manage Next Best Action Strategies,ManageRecommendationStrategies,"Create, update, and delete action strategies. Action strategies determine which recommendations are presented to users as Next Best Actions."
Manage Release Updates,ManageReleaseUpdates,Apply release updates and enable or disable test runs.
Manage Connected Apps,ManageRemoteAccess,"Manage, create, edit, and delete connected applications."
Manage Reports in Public Folders,ManageReportsInPubFolders,"Create, edit, delete reports, and manage their sharing in all public folders."
Manage Roles,ManageRoles,"Create, edit, and delete roles."
Manage Service Appointment Lifecycle,ManageSALifecycle,"Create, edit, and delete service appointment lifecycle objects."
Manage Sandboxes,ManageSandboxes,Create and edit sandbox and sandbox templates.
Manage Promoted Search Terms,ManageSearchPromotionRules,"Create, edit, and delete promoted search terms."
Manage Security Center,ManageSecurityCommandCenter,View all Security Center pages and manage app configurations.
Manage Self-Service Portal,ManageSelfService,Manage Self-Service portal settings and reports.
Manage Session Permission Set Activations,ManageSessionPermissionSets,Add or remove activation records for session-based permission sets.
Manage Sharing,ManageSharing,"Create, edit, and recalculate sharing rules, edit organization-wide defaults, and enable the external sharing model."
Manage Slack user mappings,ManageSlackUserMappings,Allow user to manage Slack user mappings
Manage Einstein Discovery,ManageSmartDataDiscovery,Access all Einstein Discovery features.
Can Deploy and Manage Einstein Discovery predictions,ManageSmartDataDiscoveryModel,Deploy and Manage Einstein Discovery predictions and models.
Manage Published Solutions,ManageSolutions,"Create, edit, and delete publicly accessible solutions."
Manage Stores,ManageStores,Manage store settings.
Manage CRM Analytics Subscriptions,ManageSubscriptions,Read and delete user subscriptions in Lightning Experience.
Manage Surveys,ManageSurveys,"Create, Edit and Delete Surveys."
Manage Sustainability Unit of Measure,ManageSustainabilityUOM,"View, create, edit or delete sustainability unit of measure."
Manage Synonyms,ManageSynonyms,"Create, edit, and delete synonym groups."
Manage Net Zero Analytics,ManageTCRMforSustainability,Create and manage Net Zero Analytics.
Manage CRM Analytics Templated Apps,ManageTemplatedApp,Create and manage apps based on available app templates.
Manage Tenants,ManageTenants,Allows management of Tenant object in management org and related data in correspondin​g external instance.
Manage Territories,ManageTerritories,Manage territory configurations.
Manage Translation,ManageTranslation,Manage translated labels in the Translation Workbench.
Manage Trust Measures,ManageTrustMeasures,"Create, edit and delete trust measures."
Manage MFA in API,ManageTwoFactor,Use the API to manage user identity verification methods for multi-factor authentication.
Manage Unlisted Groups,ManageUnlistedGroups,View and moderate unlisted Chatter groups.
Manage User Access Policies,ManageUserAccessPolicies,"Create, edit, and delete user access policies."
Manage Users,ManageUsers,"Create, edit, and deactivate users, and manage security settings, including profiles and roles."
Manage Vehicle Asset Record Types,ManageVehicleAssetRecordTypes,"View, create, edit, or delete vehicle asset record types."
Manage Intelligent Forecasting,ManageWorkForecasting,Manage intelligent forecasting jobs in Workforce Engagement.
Manage Shift Scheduling,ManageWorkScheduling,Manage shift scheduling in Workforce Engagement.
